Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo
Erik Silva,0.6666666666666667,0.8734177215189873,0.3863636363636367,0.2118730808597748,0.0299047619047619,0.1559518871837411,0.0,0.4,0.3987341772151899,0.0,0.2910583941605839,0.0047281323877068,0.0198300283286118,0.0345821325648414,0.1153846153846153,0.0298507462686567,0.04,0.7000000000000001,0.8,0.2368421052631578,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Joaquim Silva,0.625,0.8607594936708861,0.2954545454545454,0.3746161719549642,0.0862857142857143,0.0161758606387391,0.084051724137931,0.53,0.4367088607594936,0.0004333333333333,0.5775547445255474,0.1090847686592367,0.1983002832861189,0.0893371757925072,0.2692307692307693,0.0298507462686567,0.03,0.43,0.5,0.3421052631578947,0.2857142857142857,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,
Danny Silva,0.2916666666666667,0.8987341772151899,0.3409090909090913,0.8495394063459571,0.1803809523809524,0.1244296972210701,0.0538793103448275,0.59,0.6329113924050633,0.0005555555555555,0.8211678832116788,0.066531577169875,0.1359773371104816,0.0115273775216138,0.1923076923076923,0.0597014925373134,0.0,0.59,0.5,0.2368421052631578,0.0476190476190476,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Jhonata Silva,0.2916666666666667,0.8881698783994927,0.4571483784237942,0.4974411463664279,0.1876190476190476,0.0,0.0,0.44,0.0,0.5077777777777778,0.0328467153284671,0.000337723741979,0.0,0.0,0.0,0.0,0.53,0.0,0.01,0.0,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Jean Silva,0.2916666666666667,0.8481012658227848,0.2954545454545454,0.5496417604913,0.0843809523809523,0.0335960182496889,0.0,0.58,0.5063291139240507,0.0013555555555555,0.5072992700729927,0.055724417426545,0.0849858356940509,0.0115273775216138,0.4230769230769231,0.0149253731343283,0.02,0.53,0.5,0.3684210526315789,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,
Jansey Silva,0.3333333333333332,0.8881698783994927,0.4571483784237942,0.0470829068577277,0.0441904761904761,0.0,0.0,0.33,0.0,0.2877777777777778,0.000912408759124,0.0,0.0028328611898017,0.0,0.0,0.0,0.4,0.0,0.01,0.0,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Bruno Silva,0.5833333333333333,0.9113924050632912,0.5227272727272729,0.421699078812692,0.1038095238095238,0.0385732061385317,0.0,0.42,0.4683544303797468,0.0004111111111111,0.4927007299270073,0.0820668693009118,0.093484419263456,0.1671469740634005,0.7692307692307693,0.044776119402985,0.0,0.5,0.28,0.6052631578947368,0.5238095238095237,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,
Bruno Silva,0.5833333333333333,0.810126582278481,0.1136363636363637,0.3398157625383828,0.0598095238095238,0.0937370385732061,0.0247844827586206,0.59,0.3797468354430379,0.0015111111111111,0.5182481751824818,0.0536980749746707,0.0538243626062322,0.1210374639769452,0.2307692307692307,0.0597014925373134,0.04,0.49,0.29,0.3684210526315789,0.238095238095238,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
Ricky Simon,0.4583333333333332,0.8354430379746836,0.2954545454545454,0.3060388945752303,0.0731428571428571,0.2156781418498548,0.0355603448275862,0.62,0.4746835443037974,0.0003666666666666,0.7098540145985401,0.1408308004052685,0.1473087818696884,0.2132564841498559,0.2307692307692307,0.1492537313432835,0.04,0.44,0.44,0.5263157894736842,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,
Mitchell Sipe,0.2916666666666667,0.9367088607594936,0.4571483784237942,0.5629477993858751,0.1900952380952381,0.0634591455827457,0.0,0.46,0.0,0.6544444444444445,0.041970802919708,0.0016886187098953,0.0084985835694051,0.0,0.0,0.0,0.5700000000000001,0.2,0.04,0.0263157894736842,0.0,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
