event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC 95: Sanchez vs Stevenson,Nate Marquardt,Wilson Gouveia,W,L,1,0,67 of 102,16 of 74,65%,21%,79 of 114,20 of 78,2 of 6,0 of 0,33%,---,1,1,0,0,4:19,0:00,37 of 69,12 of 68,16 of 16,1 of 1,14 of 17,3 of 5,38 of 63,15 of 68,16 of 22,0 of 5,13 of 17,1 of 1
UFC 95: Sanchez vs Stevenson,Demian Maia,Chael Sonnen,W,L,0,0,6 of 17,8 of 24,35%,33%,6 of 17,18 of 34,1 of 4,0 of 0,25%,---,1,0,0,0,0:09,1:27,5 of 14,5 of 20,1 of 3,1 of 1,0 of 0,2 of 3,5 of 15,7 of 21,0 of 1,0 of 0,1 of 1,1 of 3
UFC 95: Sanchez vs Stevenson,Paulo Thiago,Josh Koscheck,W,L,1,0,7 of 24,8 of 29,29%,27%,7 of 24,8 of 29,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,4 of 21,6 of 27,1 of 1,0 of 0,2 of 2,2 of 2,7 of 24,8 of 29,0 of 0,0 of 0,0 of 0,0 of 0
UFC 95: Sanchez vs Stevenson,Terry Etim,Brian Cobb,W,L,1,0,19 of 43,0 of 13,44%,0%,19 of 43,70 of 86,1 of 1,2 of 4,100%,50%,0,0,0,0,0:24,1:48,8 of 30,0 of 12,1 of 2,0 of 1,10 of 11,0 of 0,17 of 39,0 of 13,0 of 0,0 of 0,2 of 4,0 of 0
UFC 95: Sanchez vs Stevenson,Junior Dos Santos,Stefan Struve,W,L,2,0,12 of 18,0 of 1,66%,0%,12 of 18,0 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:00,9 of 14,0 of 1,2 of 3,0 of 0,1 of 1,0 of 0,6 of 8,0 of 1,4 of 7,0 of 0,2 of 3,0 of 0
UFC 95: Sanchez vs Stevenson,Evan Dunham,Per Eklund,W,L,1,0,13 of 27,9 of 13,48%,69%,14 of 28,14 of 18,0 of 0,1 of 1,---,100%,1,1,0,0,0:31,0:32,13 of 27,5 of 9,0 of 0,3 of 3,0 of 0,1 of 1,7 of 18,8 of 12,0 of 0,0 of 0,6 of 9,1 of 1
UFC 95: Sanchez vs Stevenson,Mike Ciesnolevicz,Neil Grove,W,L,0,0,0 of 0,0 of 3,---,0%,0 of 0,2 of 6,0 of 1,0 of 0,0%,---,2,1,0,0,0:00,0:22,0 of 0,0 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,0 of 0,0 of 0
UFC 95: Sanchez vs Stevenson,Paul Kelly,Troy Mandaloniz,W,L,0,1,71 of 190,38 of 82,37%,46%,192 of 327,44 of 88,2 of 6,4 of 4,33%,100%,0,0,1,0,6:23,2:45,43 of 157,31 of 71,16 of 19,4 of 7,12 of 14,3 of 4,34 of 113,26 of 56,22 of 40,9 of 19,15 of 37,3 of 7
UFC 94: St-Pierre vs Penn 2,Georges St-Pierre,BJ Penn,W,L,0,0,92 of 122,16 of 37,75%,43%,310 of 358,63 of 85,4 of 7,0 of 1,57%,0%,0,0,0,0,14:57,0:26,51 of 75,8 of 28,28 of 32,4 of 5,13 of 15,4 of 4,30 of 43,8 of 27,23 of 28,8 of 10,39 of 51,0 of 0
UFC 94: St-Pierre vs Penn 2,Lyoto Machida,Thiago Silva,W,L,2,0,24 of 40,2 of 10,60%,20%,32 of 48,19 of 28,2 of 3,0 of 2,66%,0%,0,0,0,0,2:28,0:24,16 of 29,1 of 5,4 of 5,1 of 5,4 of 6,0 of 0,10 of 20,0 of 8,2 of 2,2 of 2,12 of 18,0 of 0
UFC 94: St-Pierre vs Penn 2,Jon Jones,Stephan Bonnar,W,L,1,0,45 of 62,37 of 76,72%,48%,70 of 89,74 of 114,7 of 10,0 of 2,70%,0%,0,0,0,0,4:09,2:11,24 of 35,15 of 46,16 of 22,10 of 13,5 of 5,12 of 17,13 of 23,8 of 39,22 of 27,28 of 36,10 of 12,1 of 1
UFC 94: St-Pierre vs Penn 2,Karo Parisyan,Dong Hyun Kim,NC,NC,0,0,24 of 47,19 of 35,51%,54%,46 of 70,47 of 64,2 of 12,2 of 6,16%,33%,1,2,0,0,5:14,6:46,13 of 34,5 of 20,1 of 1,3 of 3,10 of 12,11 of 12,7 of 25,1 of 16,15 of 20,16 of 17,2 of 2,2 of 2
UFC 94: St-Pierre vs Penn 2,Clay Guida,Nate Diaz,W,L,0,0,49 of 99,49 of 135,49%,36%,75 of 127,70 of 158,4 of 11,0 of 8,36%,0%,1,0,0,0,8:50,0:50,15 of 59,39 of 120,4 of 9,7 of 11,30 of 31,3 of 4,21 of 57,36 of 117,19 of 29,12 of 17,9 of 13,1 of 1
UFC 94: St-Pierre vs Penn 2,Jon Fitch,Akihiro Gono,W,L,0,0,40 of 70,7 of 20,57%,35%,174 of 232,18 of 32,4 of 7,0 of 0,57%,---,2,0,0,1,10:08,2:01,15 of 40,1 of 10,18 of 22,3 of 6,7 of 8,3 of 4,11 of 27,4 of 15,16 of 20,2 of 3,13 of 23,1 of 2
UFC 94: St-Pierre vs Penn 2,Thiago Tavares,Manvel Gamburyan,W,L,0,0,27 of 64,26 of 86,42%,30%,70 of 115,66 of 129,3 of 7,1 of 5,42%,20%,0,1,0,0,5:08,2:18,24 of 60,18 of 76,3 of 4,3 of 4,0 of 0,5 of 6,17 of 44,18 of 71,1 of 3,3 of 4,9 of 17,5 of 11
UFC 94: St-Pierre vs Penn 2,John Howard,Chris Wilson,W,L,0,0,21 of 41,45 of 82,51%,54%,80 of 106,67 of 107,7 of 7,2 of 6,100%,33%,2,2,1,1,6:01,3:11,13 of 32,18 of 47,4 of 4,19 of 24,4 of 5,8 of 11,10 of 24,23 of 49,2 of 4,6 of 10,9 of 13,16 of 23
UFC 94: St-Pierre vs Penn 2,Jake O'Brien,Christian Wellisch,W,L,1,0,25 of 84,46 of 179,29%,25%,61 of 122,67 of 200,9 of 11,0 of 1,81%,0%,0,0,0,0,5:14,0:04,25 of 84,31 of 158,0 of 0,3 of 4,0 of 0,12 of 17,17 of 67,44 of 172,5 of 9,2 of 7,3 of 8,0 of 0
UFC 94: St-Pierre vs Penn 2,Dan Cramer,Matt Arroyo,W,L,0,0,24 of 68,16 of 25,35%,64%,38 of 90,148 of 164,0 of 0,2 of 5,---,40%,0,5,2,0,10:53,2:25,22 of 66,10 of 18,1 of 1,4 of 5,1 of 1,2 of 2,2 of 3,4 of 11,0 of 0,0 of 2,22 of 65,12 of 12
